,W05p,W05se,W06p,W06se,W07p,W07se,W08p,W08se,W09p,W09se,W10p,W10se
scghqi-sign.Diff-2 (%),-3.68,***,-3.06,***,-3.03,***,-2.29,***,NA,NA,0.22,
scghqi-single-3 (%),1,0.12,1.11,0.13,0.9,0.12,0.64,0.08,NA,NA,1.24,0.12
scghqi-mixed-3 (%),2.28,0.18,2.82,0.2,1.62,0.15,1.38,0.13,NA,NA,1.1,0.12
scghqi-sign.Diff-3 (%),-1.27,***,-1.71,***,-0.72,***,-0.74,***,NA,NA,0.14,
scghqi-single-4 (%),0.14,0.05,0.2,0.05,0.26,0.06,0.09,0.03,NA,NA,0.35,0.06
scghqi-mixed-4 (%),0.57,0.09,0.37,0.07,0.44,0.08,0.41,0.07,NA,NA,0.32,0.06
scghqi-sign.Diff-4 (%),-0.44,***,-0.17,*,-0.19,*,-0.32,***,NA,NA,0.03,
scghqi-single-NA (%),93.85,0.3,92.61,0.32,92.99,0.31,94.81,0.23,NA,NA,91.2,0.29
scghqi-mixed-NA (%),85.5,0.42,85.54,0.42,87.16,0.4,89.45,0.34,NA,NA,91.82,0.3
scghqi-sign.Diff-NA (%),8.35,***,7.06,***,5.82,***,5.36,***,NA,NA,-0.62,
scghqj-single-1 (%),2.78,0.2,3.33,0.22,3.56,0.23,2.45,0.16,NA,NA,4.11,0.21
scghqj-mixed-1 (%),6.42,0.29,5.97,0.28,5.92,0.28,4.93,0.24,NA,NA,3.61,0.21
scghqj-sign.Diff-1 (%),-3.63,***,-2.64,***,-2.36,***,-2.48,***,NA,NA,0.5,*
scghqj-single-2 (%),2.4,0.19,3.1,0.21,2.37,0.19,2.02,0.15,NA,NA,3.28,0.19
scghqj-mixed-2 (%),6,0.28,6.32,0.29,5.19,0.27,4.24,0.22,NA,NA,3.39,0.2
scghqj-sign.Diff-2 (%),-3.6,***,-3.21,***,-2.81,***,-2.22,***,NA,NA,-0.11,
scghqj-single-3 (%),0.78,0.11,0.81,0.11,0.82,0.11,0.63,0.08,NA,NA,1.17,0.11
scghqj-mixed-3 (%),1.56,0.15,1.79,0.16,1.35,0.14,1.08,0.11,NA,NA,0.86,0.1
scghqj-sign.Diff-3 (%),-0.79,***,-0.98,***,-0.53,***,-0.46,***,NA,NA,0.31,**
scghqj-single-4 (%),0.18,0.05,0.15,0.05,0.26,0.06,0.09,0.03,NA,NA,0.25,0.05
scghqj-mixed-4 (%),0.52,0.09,0.37,0.07,0.37,0.07,0.3,0.06,NA,NA,0.33,0.06
scghqj-sign.Diff-4 (%),-0.33,***,-0.22,**,-0.11,,-0.21,***,NA,NA,-0.08,
scghqj-single-NA (%),93.85,0.3,92.61,0.32,92.99,0.31,94.81,0.23,NA,NA,91.2,0.29
scghqj-mixed-NA (%),85.5,0.42,85.54,0.42,87.18,0.4,89.45,0.34,NA,NA,91.82,0.3
scghqj-sign.Diff-NA (%),8.35,***,7.06,***,5.81,***,5.36,***,NA,NA,-0.62,
scghqk-single-1 (%),4.17,0.25,5.17,0.27,5.1,0.27,3.78,0.2,NA,NA,6.01,0.25
scghqk-mixed-1 (%),10.23,0.36,9.34,0.35,9.24,0.35,7.38,0.29,NA,NA,5.62,0.26
scghqk-sign.Diff-1 (%),-6.06,***,-4.17,***,-4.14,***,-3.6,***,NA,NA,0.4,
scghqk-single-2 (%),1.51,0.15,1.7,0.16,1.31,0.14,1.01,0.11,NA,NA,2.12,0.15
scghqk-mixed-2 (%),3.17,0.21,4,0.23,2.72,0.19,2.41,0.17,NA,NA,1.89,0.15
scghqk-sign.Diff-2 (%),-1.66,***,-2.29,***,-1.41,***,-1.4,***,NA,NA,0.23,
scghqk-single-3 (%),0.3,0.07,0.35,0.07,0.38,0.08,0.32,0.06,NA,NA,0.54,0.08
scghqk-mixed-3 (%),0.72,0.1,0.85,0.11,0.64,0.1,0.55,0.08,NA,NA,0.44,0.07
scghqk-sign.Diff-3 (%),-0.41,***,-0.5,***,-0.26,**,-0.23,**,NA,NA,0.1,
scghqk-single-4 (%),0.17,0.05,0.15,0.05,0.23,0.06,0.07,0.03,NA,NA,0.13,0.04
scghqk-mixed-4 (%),0.37,0.07,0.27,0.06,0.23,0.06,0.22,0.05,NA,NA,0.22,0.05
scghqk-sign.Diff-4 (%),-0.21,**,-0.12,,0,,-0.15,***,NA,NA,-0.09,
scghqk-single-NA (%),93.85,0.3,92.62,0.32,92.99,0.31,94.82,0.23,NA,NA,91.2,0.29
scghqk-mixed-NA (%),85.52,0.42,85.54,0.42,87.16,0.4,89.44,0.34,NA,NA,91.83,0.3
scghqk-sign.Diff-NA (%),8.34,***,7.08,***,5.82,***,5.39,***,NA,NA,-0.63,
scghql-single-1 (%),0.71,0.1,0.52,0.09,0.59,0.09,0.47,0.07,NA,NA,0.8,0.09
scghql-mixed-1 (%),1.28,0.13,0.9,0.11,1.13,0.13,0.9,0.1,NA,NA,0.55,0.08
scghql-sign.Diff-1 (%),-0.56,***,-0.39,***,-0.54,***,-0.43,***,NA,NA,0.25,**
scghql-single-2 (%),4.72,0.26,5.96,0.29,5.52,0.28,4.13,0.21,NA,NA,6.93,0.26
scghql-mixed-2 (%),11.38,0.38,11.3,0.38,10,0.36,8.35,0.31,NA,NA,6.54,0.27
scghql-sign.Diff-2 (%),-6.66,***,-5.34,***,-4.48,***,-4.22,***,NA,NA,0.39,
scghql-single-3 (%),0.58,0.09,0.76,0.11,0.62,0.1,0.5,0.07,NA,NA,0.92,0.1
scghql-mixed-3 (%),1.43,0.14,1.96,0.17,1.42,0.14,1.06,0.11,NA,NA,0.82,0.1
scghql-sign.Diff-3 (%),-0.85,***,-1.2,***,-0.79,***,-0.55,***,NA,NA,0.1,
scghql-single-4 (%),0.14,0.05,0.15,0.05,0.26,0.06,0.09,0.03,NA,NA,0.16,0.04
scghql-mixed-4 (%),0.39,0.07,0.29,0.06,0.26,0.06,0.26,0.06,NA,NA,0.25,0.05
scghql-sign.Diff-4 (%),-0.25,***,-0.13,*,0,,-0.17,***,NA,NA,-0.08,
scghql-single-NA (%),93.85,0.3,92.61,0.32,93,0.31,94.81,0.23,NA,NA,91.19,0.29
scghql-mixed-NA (%),85.53,0.42,85.54,0.42,87.19,0.4,89.44,0.34,NA,NA,91.84,0.3
scghql-sign.Diff-NA (%),8.32,***,7.06,***,5.81,***,5.38,***,NA,NA,-0.66,
scsf2a-single-1 (%),0.59,0.09,0.65,0.1,0.47,0.08,0.56,0.08,NA,NA,0.97,0.1
scsf2a-mixed-1 (%),1.07,0.12,1.09,0.12,0.8,0.11,0.69,0.09,NA,NA,0.43,0.07
scsf2a-sign.Diff-1 (%),-0.48,***,-0.43,***,-0.33,**,-0.13,,NA,NA,0.54,***
scsf2a-single-2 (%),1.1,0.13,1.26,0.14,1.29,0.14,1,0.1,NA,NA,1.42,0.12
scsf2a-mixed-2 (%),2.46,0.19,2.85,0.2,2.51,0.19,2.36,0.17,NA,NA,1.4,0.13
