X1,X2,X3
1112,susp,1,3
1394,susp,1,3
39,trainany,0,1
280,trainany,0,1
532,trainany,0,1
778,trainany,0,1
1012,trainany,0,1
1263,trainany,0,1
114,undqus,1,5
355,undqus,1,5
628,undqus,1,5
907,undqus,1,5
1113,undqus,1,5
1395,undqus,1,5
75,vote1,0,1
316,vote1,0,1
586,vote1,0,1
76,vote2,0,1
317,vote2,0,1
587,vote2,0,1
77,vote6,1,4
318,vote6,1,4
588,vote6,1,4
10,xpmove,0,1
251,xpmove,0,1
501,xpmove,0,1
744,xpmove,0,1
1229,xpmove,0,1
538,benbase1,0,1
784,benbase1,0,1
1017,benbase1,0,1
1269,benbase1,0,1
539,benbase2,0,1
785,benbase2,0,1
1018,benbase2,0,1
1270,benbase2,0,1
540,benbase3,0,1
786,benbase3,0,1
1019,benbase3,0,1
1271,benbase3,0,1
541,benbase4,0,1
787,benbase4,0,1
1020,benbase4,0,1
1272,benbase4,0,1
542,benbase96,0,1
788,benbase96,0,1
1021,benbase96,0,1
1273,benbase96,0,1
557,bendis12,0,1
803,bendis12,0,1
1036,bendis12,0,1
1288,bendis12,0,1
495,chkresp1,0,1
738,chkresp1,0,1
980,chkresp1,0,1
1223,chkresp1,0,1
496,chkresp2,0,1
739,chkresp2,0,1
981,chkresp2,0,1
1224,chkresp2,0,1
497,chkresp3,0,1
740,chkresp3,0,1
982,chkresp3,0,1
1225,chkresp3,0,1
498,chkresp4,0,0
983,chkresp4,0,0
1226,chkresp4,0,0
741,chkresp4,0,1
630,coopnxtyr,1,4
909,coopnxtyr,1,4
1115,coopnxtyr,1,4
1397,coopnxtyr,1,4
663,deviceused,1,3
1406,deviceused,1,5
917,deviceused,1,8
1123,deviceused,1,8
489,indstimehh,0,23
732,indstimehh,0,23
974,indstimehh,0,23
1217,indstimehh,0,23
490,indstimemm,0,59
733,indstimemm,0,59
975,indstimemm,0,59
1218,indstimemm,0,59
491,indstimess,0,59
734,indstimess,0,59
976,indstimess,0,59
1219,indstimess,0,59
629,intqus,1,5
908,intqus,1,5
1114,intqus,1,5
1396,intqus,1,5
589,mtmmlhh,0,23
871,mtmmlhh,0,23
1096,mtmmlhh,0,23
590,mtmmlmm,0,59
872,mtmmlmm,0,59
1097,mtmmlmm,0,59
591,mtmmlss,0,59
873,mtmmlss,0,59
1098,mtmmlss,0,59
563,othben1,0,1
809,othben1,0,1
1042,othben1,0,1
1294,othben1,0,1
564,othben2,0,1
810,othben2,0,1
1043,othben2,0,1
1295,othben2,0,1
811,othben3,0,0
565,othben3,0,1
1044,othben3,0,1
1296,othben3,0,1
566,othben4,0,0
812,othben4,0,0
1045,othben4,0,0
1297,othben4,0,0
567,othben5,0,1
813,othben5,0,1
1046,othben5,0,1
1298,othben5,0,1
568,othben6,0,1
814,othben6,0,1
1047,othben6,0,1
1299,othben6,0,1
569,othben7,0,0
815,othben7,0,0
1048,othben7,0,0
1300,othben7,0,0
570,othben8,0,1
816,othben8,0,1
1049,othben8,0,1
1301,othben8,0,1
571,othben9,0,0
817,othben9,0,0
1050,othben9,0,0
1302,othben9,0,0
573,othben96,0,1
819,othben96,0,1
1052,othben96,0,1
1304,othben96,0,1
572,othben97,0,1
818,othben97,0,1
1051,othben97,0,1
1303,othben97,0,1
499,pbirthy,1917,2014
742,pbirthy,1917,1999
984,pbirthy,1921,2000
1227,pbirthy,1921,2001
507,smoker,0,1
750,smoker,0,1
989,smoker,0,1
1235,smoker,0,1
775,hcondn18,0,1
1010,hcondn18,0,1
1260,hcondn18,0,1
1258,hcondn19,0,0
773,hcondn19,0,1
1008,hcondn19,0,1
774,hcondn20,0,0
1009,hcondn20,0,1
1259,hcondn20,0,1
945,indenddated,1,31
1151,indenddated,1,31
1386,indenddated,1,31
944,indenddatem,5,10
1150,indenddatem,5,10
1385,indenddatem,5,10
943,indenddatey,2015,2015
1149,indenddatey,2016,2016
1384,indenddatey,2017,2017
936,indini2_lw,0,3.41131997108459
1142,indini2_lw,0,3.59058094024658
1447,indini2_lw,0,3.0096218585968
933,indpxi2_lw,0,4.51167154312134
1139,indpxi2_lw,0,5.48604249954224
1444,indpxi2_lw,0,3.02755808830261
828,missource01,0,1
1053,missource01,0,1
1313,missource01,0,1
829,missource02,0,1
1054,missource02,0,1
1314,missource02,0,1
830,missource03,0,1
1055,missource03,0,1
1315,missource03,0,1
831,missource04,0,1
1056,missource04,0,1
1316,missource04,0,1
832,missource05,0,1
1057,missource05,0,1
1317,missource05,0,1
833,missource06,0,0
1058,missource06,0,1
1318,missource06,0,1
834,missource07,0,1
1059,missource07,0,1
1319,missource07,0,1
835,missource08,0,1
1060,missource08,0,1
1320,missource08,0,1
836,missource09,0,0
1061,missource09,0,1
1321,missource09,0,1
837,missource10,0,1
1062,missource10,0,1
1322,missource10,0,1
838,missource11,0,1
1063,missource11,0,1
1323,missource11,0,1
839,missource12,0,1
1064,missource12,0,1
1324,missource12,0,1
840,missource13,0,0
1065,missource13,0,1
1325,missource13,0,1
841,missource14,0,1
1066,missource14,0,1
1326,missource14,0,1
842,missource15,0,1
1067,missource15,0,1
1327,missource15,0,1
843,missource16,0,1
1068,missource16,0,1
1328,missource16,0,1
844,missource18,0,1
1069,missource18,0,1
1329,missource18,0,1
